host_resource,host_field,target_resource,candidate_satellite,suffix_after_stem,target_field,name_match_score,match_kind
Property,ListAgentKey,Member,ListAgentFax,Fax,MemberFax,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentFirstName,FirstName,MemberFirstName,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentFullName,FullName,MemberFullName,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentHomePhone,HomePhone,MemberHomePhone,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentLastName,LastName,MemberLastName,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentMiddleName,MiddleName,MemberMiddleName,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentMobilePhone,MobilePhone,MemberMobilePhone,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentNamePrefix,NamePrefix,MemberNamePrefix,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentNameSuffix,NameSuffix,MemberNameSuffix,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentOfficePhone,OfficePhone,MemberOfficePhone,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentOfficePhoneExt,OfficePhoneExt,MemberOfficePhoneExt,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentPager,Pager,MemberPager,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentPreferredPhone,PreferredPhone,MemberPreferredPhone,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentPreferredPhoneExt,PreferredPhoneExt,MemberPreferredPhoneExt,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentStateLicense,StateLicense,MemberStateLicense,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentTollFreePhone,TollFreePhone,MemberTollFreePhone,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentURL,URL,,0.00,no_match
Property,ListAgentKey,Member,ListAgentVoiceMail,VoiceMail,MemberVoiceMail,1.00,target_prefix
Property,ListAgentKey,Member,ListAgentVoiceMailExt,VoiceMailExt,MemberVoiceMailExt,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficeAOR,AOR,OfficeAOR,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficeEmail,Email,OfficeEmail,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficeFax,Fax,OfficeFax,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficeMlsId,MlsId,OfficeMlsId,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficeName,Name,OfficeName,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficePhone,Phone,OfficePhone,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficePhoneExt,PhoneExt,OfficePhoneExt,1.00,target_prefix
Property,ListOfficeKey,Office,ListOfficeURL,URL,,0.00,no_match
Property,ListTeamKey,Teams,ListTeamName,Name,TeamName,1.00,target_singular_prefix
Property,OriginatingSystemID,OUID,OriginatingSystemKey,Key,,0.00,no_match
Property,OriginatingSystemID,OUID,OriginatingSystemName,Name,,0.00,no_match
Property,SourceSystemID,OUID,SourceSystemKey,Key,,0.00,no_match
Property,SourceSystemID,OUID,SourceSystemName,Name,,0.00,no_match
PropertyGreenVerification,ListingKey,Property,ListingId,Id,,0.00,no_match
PropertyPowerProduction,ListingKey,Property,ListingId,Id,,0.00,no_match
PropertyRooms,ListingKey,Property,ListingId,Id,,0.00,no_match
PropertyUnitTypes,ListingKey,Property,ListingId,Id,,0.00,no_match
SavedSearch,MemberKey,Member,MemberMlsId,MlsId,MemberMlsId,1.00,target_prefix
Showing,ShowingAgentKey,Member,ShowingAgentMlsID,MlsID,MemberMlsId,0.80,target_prefix_casefold
ShowingAppointment,ShowingAgentKey,Member,ShowingAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
ShowingRequest,ShowingAgentKey,Member,ShowingAgentMlsId,MlsId,MemberMlsId,1.00,target_prefix
TeamMembers,MemberKey,Member,MemberLoginId,LoginId,MemberLoginId,1.00,target_prefix
