host_resource,host_field,candidate_satellite,target_resource,target_field,host_simple_type,target_simple_type,host_lookup,target_lookup,type_match,simple_type_match,lookup_match
Property,ListAgentKey,ListAgentNameSuffix,Member,MemberNameSuffix,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentOfficePhone,Member,MemberOfficePhone,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentOfficePhoneExt,Member,MemberOfficePhoneExt,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentPager,Member,MemberPager,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentPreferredPhone,Member,MemberPreferredPhone,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentStateLicense,Member,MemberStateLicense,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentTollFreePhone,Member,MemberTollFreePhone,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentVoiceMail,Member,MemberVoiceMail,String,String,,,1.0,1,1
Property,ListAgentKey,ListAgentVoiceMailExt,Member,MemberVoiceMailExt,String,String,,,1.0,1,1
Property,ListOfficeKey,ListOfficeAOR,Office,OfficeAOR,"String List, Single","String List, Single",AOR,AOR,1.0,1,1
Property,ListOfficeKey,ListOfficeEmail,Office,OfficeEmail,String,String,,,1.0,1,1
Property,ListOfficeKey,ListOfficeFax,Office,OfficeFax,String,String,,,1.0,1,1
Property,ListOfficeKey,ListOfficeMlsId,Office,OfficeMlsId,String,String,,,1.0,1,1
Property,ListOfficeKey,ListOfficeName,Office,OfficeName,String,String,,,1.0,1,1
Property,ListOfficeKey,ListOfficePhone,Office,OfficePhone,String,String,,,1.0,1,1
Property,ListOfficeKey,ListOfficePhoneExt,Office,OfficePhoneExt,String,String,,,1.0,1,1
Property,ListTeamKey,ListTeamName,Teams,TeamName,String,String,,,1.0,1,1
SavedSearch,MemberKey,MemberMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
Showing,ShowingAgentKey,ShowingAgentMlsID,Member,MemberMlsId,String,String,,,1.0,1,1
ShowingAppointment,ShowingAgentKey,ShowingAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
ShowingRequest,ShowingAgentKey,ShowingAgentMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
TeamMembers,MemberKey,MemberLoginId,Member,MemberLoginId,String,String,,,1.0,1,1
TeamMembers,MemberKey,MemberMlsId,Member,MemberMlsId,String,String,,,1.0,1,1
