ResourceName,StandardName,Definition,SourceURL
Caravan,SourceSystemKey,"The system key, a unique record identifier, from the source system. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.",https://dd.reso.org/DD2.0/Caravan/SourceSystemKey/
Caravan,SourceSystemName,The name of the CaravanStop record provider. The system from which the record was directly received. The legal name of the company.,https://dd.reso.org/DD2.0/Caravan/SourceSystemName/
CaravanStop,CaravanKey,"A system unique identifier. Specifically, a foreign key referencing the primary key of the Caravan Resource.",https://dd.reso.org/DD2.0/CaravanStop/CaravanKey/
CaravanStop,CaravanStopKey,"A system unique identifier. Specifically, a foreign key referencing the primary key of the CaravanStop Resource.",https://dd.reso.org/DD2.0/CaravanStop/CaravanStopKey/
CaravanStop,ModificationTimestamp,The date/time the CaravanStop record was last modified.,https://dd.reso.org/DD2.0/CaravanStop/ModificationTimestamp/
CaravanStop,OriginalEntryTimestamp,The date/time the CaravanStop record was originally input into the source system.,https://dd.reso.org/DD2.0/CaravanStop/OriginalEntryTimestamp/
CaravanStop,OriginatingSystemId,"The RESO Unique Organization Identifier (UOI) OrganizationUniqueId of the originating record provider. The originating system is the system with authoritative control over the record (e.g., the name of the MLS where caravan stops were input). In cases where the originating system was not where the record originated (the authoritative system), see the Originating System fields.",https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemId/
CaravanStop,OriginatingSystemKey,"The system key, a unique record identifier, from the originating system. The originating system is the system with authoritative control over the record (e.g., the MLS where the caravan stops were input). There may be cases where the source system (how the record was received) is not the originating system. See Source System Key for more information.",https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemKey/
CaravanStop,OriginatingSystemName,"The name of the originating record provider, most commonly the name of the MLS. The place where the caravan stops are originally input. The legal name of the company.",https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemName/
CaravanStop,SourceSystemId,"The RESO Unique Organization Identifier (UOI) OrganizationUniqueId of the source record provider. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.",https://dd.reso.org/DD2.0/CaravanStop/SourceSystemId/
