Resource,Field,StandardName,DisplayName,Group,DataType,MaxLength,MaxPrecision,Synonyms,FieldStatus,BEDES,Lookup,LookupStatus,PropertyTypes,Payloads,SpanishName,FrenchCanadianName,StatusChangeDate,RevisionDate,AddedInVersion,SourceResource,OrgPct,OrgAdopted,OrgTotal,SourceUrl,FetchedAt
Association,OriginatingSystemId,OriginatingSystemId,Originating System ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/OriginatingSystemId/,2026-05-04T15:53:41Z
Association,OriginatingSystemName,OriginatingSystemName,Originating System Name,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/OriginatingSystemName/,2026-05-04T15:53:41Z
Association,SocialMediaType,SocialMediaType,Social Media Type,,"String List, Single",25,,,Active,,SocialMediaType,Open with Enumerations,,AMS,,,7/25/2019,4/11/2022,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/SocialMediaType/,2026-05-04T15:53:41Z
Association,SocialMediaUrlOrId,SocialMediaUrlOrId,Social Media Type URL or ID,,String,8000,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/SocialMediaUrlOrId/,2026-05-04T15:53:41Z
Association,SourceSystem,SourceSystem,Source System,,Resource,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,OUID,,,,https://dd.reso.org/DD2.0/Association/SourceSystem/,2026-05-04T15:53:41Z
Association,SourceSystemAssociationKey,SourceSystemAssociationKey,Source System Association Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/SourceSystemAssociationKey/,2026-05-04T15:53:41Z
Association,SourceSystemId,SourceSystemId,Source System ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/SourceSystemId/,2026-05-04T15:53:41Z
Association,SourceSystemName,SourceSystemName,Source System Name,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/SourceSystemName/,2026-05-04T15:53:41Z
Caravan,CancellationPolicyUrl,CancellationPolicyUrl,Cancellation Policy URL,,String,8000,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CancellationPolicyUrl/,2026-05-04T15:53:41Z
Caravan,CaravanAllowedClassNames,CaravanAllowedClassNames,Caravan Allowed Class Names,,"String List, Multi",50,,,Active,,CaravanAllowedClassNames,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanAllowedClassNames/,2026-05-04T15:53:41Z
