host_resource,host_field,candidate_satellite,target_resource,target_field,jaccard,host_token_count,target_token_count,shared_token_count,host_def_first120,target_def_first120
Property,CoBuyerAgentKey,CoBuyerAgentOfficePhone,Member,MemberOfficePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentOfficePhoneExt,Member,MemberOfficePhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,CoBuyerAgentKey,CoBuyerAgentPager,Member,MemberPager,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentPreferredPhone,Member,MemberPreferredPhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,CoBuyerAgentKey,CoBuyerAgentStateLicense,Member,MemberStateLicense,1.000,6,6,6,The license of the co-buyers' agent. Multiple licenses should be separated with a comma and space.,The license of the member. Multiple licenses should be separated by a comma and space.
Property,CoBuyerAgentKey,CoBuyerAgentTollFreePhone,Member,MemberTollFreePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentVoiceMail,Member,MemberVoiceMail,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentVoiceMailExt,Member,MemberVoiceMailExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,CoBuyerOfficeKey,CoBuyerOfficeAOR,Office,OfficeAOR,1.000,3,3,3,The co-buyer's office's board or association of REALTORS®.,The office's board or association of REALTORS®.
Property,CoBuyerOfficeKey,CoBuyerOfficeEmail,Office,OfficeEmail,1.000,2,2,2,The email address of the buyer's co-office.,The email address of the office
Property,CoBuyerOfficeKey,CoBuyerOfficeFax,Office,OfficeFax,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerOfficeKey,CoBuyerOfficeMlsId,Office,OfficeMlsId,1.000,12,12,12,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it ","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it "
Property,CoBuyerOfficeKey,CoBuyerOfficeName,Office,OfficeName,0.750,4,3,3,The legal name of the brokerage co-representing the buyer.,The legal name of the brokerage.
Property,CoBuyerOfficeKey,CoBuyerOfficePhone,Office,OfficePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerOfficeKey,CoBuyerOfficePhoneExt,Office,OfficePhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.",The extension of the given phone number (if applicable).
