LookupName,Description,ValueCount,UsedByCount,SourceURL
OfficeBranchType,,3,1,https://dd.reso.org/DD2.0/lookups/OfficeBranchType/
OfficeCorporateLicenseType,,2,1,https://dd.reso.org/DD2.0/lookups/OfficeCorporateLicenseType/
OfficeStatus,,2,2,https://dd.reso.org/DD2.0/lookups/OfficeStatus/
OfficeType,,11,1,https://dd.reso.org/DD2.0/lookups/OfficeType/
OpenHouseStatus,,3,1,https://dd.reso.org/DD2.0/lookups/OpenHouseStatus/
OpenHouseType,,5,1,https://dd.reso.org/DD2.0/lookups/OpenHouseType/
OperatingExpenseIncludes,,33,1,https://dd.reso.org/DD2.0/lookups/OperatingExpenseIncludes/
OrganizationType,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/OrganizationType/
OtherEquipment,,21,1,https://dd.reso.org/DD2.0/lookups/OtherEquipment/
OtherPhoneType,,14,2,https://dd.reso.org/DD2.0/lookups/OtherPhoneType/
OtherStructures,,33,1,https://dd.reso.org/DD2.0/lookups/OtherStructures/
OwnerPays,,29,1,https://dd.reso.org/DD2.0/lookups/OwnerPays/
OwnershipType,,4,1,https://dd.reso.org/DD2.0/lookups/OwnershipType/
ParkingFeatures,,72,1,https://dd.reso.org/DD2.0/lookups/ParkingFeatures/
PatioAndPorchFeatures,,16,1,https://dd.reso.org/DD2.0/lookups/PatioAndPorchFeatures/
Permission,,7,1,https://dd.reso.org/DD2.0/lookups/Permission/
PetsAllowed,,8,1,https://dd.reso.org/DD2.0/lookups/PetsAllowed/
PoolFeatures,,35,1,https://dd.reso.org/DD2.0/lookups/PoolFeatures/
Possession,,12,1,https://dd.reso.org/DD2.0/lookups/Possession/
PostalCity,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/PostalCity/
PowerProductionAnnualStatus,,3,1,https://dd.reso.org/DD2.0/lookups/PowerProductionAnnualStatus/
PowerProductionOwnership,,2,1,https://dd.reso.org/DD2.0/lookups/PowerProductionOwnership/
PowerProductionType,,2,2,https://dd.reso.org/DD2.0/lookups/PowerProductionType/
PowerStorageType,,5,1,https://dd.reso.org/DD2.0/lookups/PowerStorageType/
PreferredAddress,,3,1,https://dd.reso.org/DD2.0/lookups/PreferredAddress/
PreferredMail,,4,1,https://dd.reso.org/DD2.0/lookups/PreferredMail/
PreferredMedia,,3,2,https://dd.reso.org/DD2.0/lookups/PreferredMedia/
PreferredPhone,,7,1,https://dd.reso.org/DD2.0/lookups/PreferredPhone/
PreferredPublication,,5,1,https://dd.reso.org/DD2.0/lookups/PreferredPublication/
PropertyCondition,,5,1,https://dd.reso.org/DD2.0/lookups/PropertyCondition/
PropertySubType,,31,1,https://dd.reso.org/DD2.0/lookups/PropertySubType/
PropertyType,,9,1,https://dd.reso.org/DD2.0/lookups/PropertyType/
QueueTransactionType,,3,1,https://dd.reso.org/DD2.0/lookups/QueueTransactionType/
ReasonActiveOrDisabled,,16,1,https://dd.reso.org/DD2.0/lookups/ReasonActiveOrDisabled/
RentIncludes,,13,1,https://dd.reso.org/DD2.0/lookups/RentIncludes/
ResourceName,,5,7,https://dd.reso.org/DD2.0/lookups/ResourceName/
ResponseTypes,,2,1,https://dd.reso.org/DD2.0/lookups/ResponseTypes/
RoadFrontageType,,13,1,https://dd.reso.org/DD2.0/lookups/RoadFrontageType/
RoadResponsibility,,3,1,https://dd.reso.org/DD2.0/lookups/RoadResponsibility/
RoadSurfaceType,,11,1,https://dd.reso.org/DD2.0/lookups/RoadSurfaceType/
Roof,,34,1,https://dd.reso.org/DD2.0/lookups/Roof/
RoomLengthWidthSource,,11,1,https://dd.reso.org/DD2.0/lookups/RoomLengthWidthSource/
RoomLevel,,7,1,https://dd.reso.org/DD2.0/lookups/RoomLevel/
RoomType,,33,2,https://dd.reso.org/DD2.0/lookups/RoomType/
RuleFormat,,4,1,https://dd.reso.org/DD2.0/lookups/RuleFormat/
RuleType,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/RuleType/
SavedSearchType,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/SavedSearchType/
ScheduleType,,3,1,https://dd.reso.org/DD2.0/lookups/ScheduleType/
SearchQueryExceptions,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/SearchQueryExceptions/
SearchQueryType,,2,1,https://dd.reso.org/DD2.0/lookups/SearchQueryType/
SecurityFeatures,,28,1,https://dd.reso.org/DD2.0/lookups/SecurityFeatures/
Sewer,,15,1,https://dd.reso.org/DD2.0/lookups/Sewer/
ShowingAppointmentMethod,,3,1,https://dd.reso.org/DD2.0/lookups/ShowingAppointmentMethod/
ShowingAppointmentStatus,,4,1,https://dd.reso.org/DD2.0/lookups/ShowingAppointmentStatus/
ShowingConsiderations,,14,1,https://dd.reso.org/DD2.0/lookups/ShowingConsiderations/
ShowingContactType,,4,1,https://dd.reso.org/DD2.0/lookups/ShowingContactType/
ShowingDays,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/ShowingDays/
ShowingMethod,,3,1,https://dd.reso.org/DD2.0/lookups/ShowingMethod/
ShowingMethodRequest,,3,1,https://dd.reso.org/DD2.0/lookups/ShowingMethodRequest/
ShowingRequestType,,6,1,https://dd.reso.org/DD2.0/lookups/ShowingRequestType/
ShowingRequestor,,11,1,https://dd.reso.org/DD2.0/lookups/ShowingRequestor/
ShowingRequirements,,18,1,https://dd.reso.org/DD2.0/lookups/ShowingRequirements/
ShowingServiceName,,10,1,https://dd.reso.org/DD2.0/lookups/ShowingServiceName/
ShowingStatus,,4,1,https://dd.reso.org/DD2.0/lookups/ShowingStatus/
Skirt,,19,1,https://dd.reso.org/DD2.0/lookups/Skirt/
SocialMediaType,,17,7,https://dd.reso.org/DD2.0/lookups/SocialMediaType/
SpaFeatures,,10,1,https://dd.reso.org/DD2.0/lookups/SpaFeatures/
