LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
SocialMediaType,17,7,"[{""Resource"":""Association"",""Field"":""SocialMediaType"",""DisplayName"":""Social Media Type"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""SocialMediaType"",""DisplayName"":""Social Media Type"",""Usage"":""—""},{""Resource"":""Member"",""Field"":""SocialMediaType"",""DisplayName"":""Social Media Type"",""Usage"":""2%""},{""Resource"":""Office"",""Field"":""SocialMediaType"",""DisplayName"":""Social Media Type"",""Usage"":""1%""},{""Resource"":""OUID"",""Field"":""OrganizationSocialMediaType"",""DisplayName"":""Organization Social Media Type"",""Usage"":""—""},{""Resource"":""SocialMedia"",""Field"":""SocialMediaType"",""DisplayName"":""Social Media Type"",""Usage"":""8%""},{""Resource"":""Teams"",""Field"":""SocialMediaType"",""DisplayName"":""Social Media Type"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SocialMediaType/
SpaFeatures,10,1,"[{""Resource"":""Property"",""Field"":""SpaFeatures"",""DisplayName"":""Spa Features"",""Usage"":""62%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SpaFeatures/
SpecialLicenses,13,1,"[{""Resource"":""Property"",""Field"":""SpecialLicenses"",""DisplayName"":""Special Licenses"",""Usage"":""13%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SpecialLicenses/
SpecialListingConditions,12,1,"[{""Resource"":""Property"",""Field"":""SpecialListingConditions"",""DisplayName"":""Special Listing Conditions"",""Usage"":""74%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SpecialListingConditions/
StandardStatus,11,1,"[{""Resource"":""Property"",""Field"":""StandardStatus"",""DisplayName"":""Standard Status"",""Usage"":""94%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/StandardStatus/
StateOrProvince,65,19,"[{""Resource"":""Property"",""Field"":""StateOrProvince"",""DisplayName"":""State Or Province"",""Usage"":""99%""},{""Resource"":""Association"",""Field"":""AssociationMailStateOfProvince"",""DisplayName"":""Association Mail State or Province"",""Usage"":""—""},{""Resource"":""Association"",""Field"":""AssociationStateOrProvince"",""DisplayName"":""Association State or Province"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""HomeStateOrProvince"",""DisplayName"":""Home State Or Province"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""OtherStateOrProvince"",""DisplayName"":""Other State Or Province"",""Usage"":""—""},{""Resource"":""Contacts"",""Field"":""WorkStateOrProvince"",""DisplayName"":""Work State Or Province"",""Usage"":""—""},{""Resource"":""InternetTracking"",""Field"":""ActorStateOrProvince"",""DisplayName"":""Actor State Or Province"",""Usage"":""—""},{""Resource"":""LockOrBox"",""Field"":""ListingStateOrProvince"",""DisplayName"":""Listing State or Province"",""Usage"":""—""},{""Resource"":""Member"",""Field"":""MemberStateLicenseState"",""DisplayName"":""Member State License State"",""Usage"":""16%""},{""Resource"":""Member"",""Field"":""MemberStateOrProvince"",""DisplayName"":""Member State Or Province"",""Usage"":""95%""},{""Resource"":""MemberStateLicense"",""Field"":""MemberStateLicenseState"",""DisplayName"":""Member State License State"",""Usage"":""—""},{""Resource"":""Office"",""Field"":""OfficeMailStateOrProvince"",""DisplayName"":""Office Mail State or Province"",""Usage"":""17%""},{""Resource"":""Office"",""Field"":""OfficePrimaryStateOrProvince"",""DisplayName"":""Office Primary State or Province"",""Usage"":""0%""},{""Resource"":""Office"",""Field"":""OfficeStateOrProvince"",""DisplayName"":""Office State Or Province"",""Usage"":""98%""},{""Resource"":""OfficeCorporateLicense"",""Field"":""OfficeCorporateLicenseState"",""DisplayName"":""Office Corporate License State"",""Usage"":""—""},{""Resource"":""OUID"",""Field"":""OrganizationStateLicenseState"",""DisplayName"":""Organization State License State"",""Usage"":""—""},{""Resource"":""OUID"",""Field"":""OrganizationStateOrProvince"",""DisplayName"":""Organization State Or Province"",""Usage"":""0%""},{""Resource"":""Teams"",""Field"":""TeamLeadStateLicenseState"",""DisplayName"":""Team Lead State License State"",""Usage"":""—""},{""Resource"":""Teams"",""Field"":""TeamStateOrProvince"",""DisplayName"":""Team State Or Province"",""Usage"":""0%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/StateOrProvince/
StreetDirection,8,2,"[{""Resource"":""Property"",""Field"":""StreetDirPrefix"",""DisplayName"":""Street Direction Prefix"",""Usage"":""88%""},{""Resource"":""Property"",""Field"":""StreetDirSuffix"",""DisplayName"":""Street Direction Suffix"",""Usage"":""50%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/StreetDirection/
StructureType,17,1,"[{""Resource"":""Property"",""Field"":""StructureType"",""DisplayName"":""Structure Type"",""Usage"":""63%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/StructureType/
SyndicateTo,4,3,"[{""Resource"":""Property"",""Field"":""SyndicateTo"",""DisplayName"":""Syndicate To"",""Usage"":""16%""},{""Resource"":""Member"",""Field"":""SyndicateTo"",""DisplayName"":""Syndicate To"",""Usage"":""2%""},{""Resource"":""Office"",""Field"":""SyndicateTo"",""DisplayName"":""Syndicate To"",""Usage"":""10%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SyndicateTo/
TaxStatusCurrent,3,1,"[{""Resource"":""Property"",""Field"":""TaxStatusCurrent"",""DisplayName"":""Tax Status Current"",""Usage"":""3%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/TaxStatusCurrent/
TeamMemberType,10,1,"[{""Resource"":""TeamMembers"",""Field"":""TeamMemberType"",""DisplayName"":""Team Member Type"",""Usage"":""0%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/TeamMemberType/
TeamStatus,2,1,"[{""Resource"":""Teams"",""Field"":""TeamStatus"",""DisplayName"":""Team Status"",""Usage"":""0%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/TeamStatus/
TenantPays,29,1,"[{""Resource"":""Property"",""Field"":""TenantPays"",""DisplayName"":""Tenant Pays"",""Usage"":""63%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/TenantPays/
TrackingType,5,1,"[{""Resource"":""InternetTrackingSummary"",""Field"":""TrackingType"",""DisplayName"":""Tracking Type"",""Usage"":""—""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/TrackingType/
TransactionType,5,1,"[{""Resource"":""TransactionManagement"",""Field"":""TransactionType"",""DisplayName"":""Transaction Type"",""Usage"":""—""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/TransactionType/
UnitTypeType,10,2,"[{""Resource"":""Property"",""Field"":""UnitTypeType"",""DisplayName"":""Unit Type Type"",""Usage"":""4%""},{""Resource"":""PropertyUnitTypes"",""Field"":""UnitTypeType"",""DisplayName"":""Unit Type Type"",""Usage"":""15%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/UnitTypeType/
UnitsFurnished,3,1,"[{""Resource"":""Property"",""Field"":""UnitsFurnished"",""DisplayName"":""Units Furnished"",""Usage"":""6%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/UnitsFurnished/
Utilities,23,1,"[{""Resource"":""Property"",""Field"":""Utilities"",""DisplayName"":""Utilities"",""Usage"":""88%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Utilities/
Vegetation,10,1,"[{""Resource"":""Property"",""Field"":""Vegetation"",""DisplayName"":""Vegetation"",""Usage"":""35%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Vegetation/
View,38,1,"[{""Resource"":""Property"",""Field"":""View"",""DisplayName"":""View"",""Usage"":""63%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/View/
WaterSource,9,1,"[{""Resource"":""Property"",""Field"":""WaterSource"",""DisplayName"":""Water Source"",""Usage"":""86%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/WaterSource/
WaterfrontFeatures,20,1,"[{""Resource"":""Property"",""Field"":""WaterfrontFeatures"",""DisplayName"":""Waterfront Features"",""Usage"":""71%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/WaterfrontFeatures/
WindowFeatures,21,1,"[{""Resource"":""Property"",""Field"":""WindowFeatures"",""DisplayName"":""Window Features"",""Usage"":""76%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/WindowFeatures/
YearBuiltSource,8,1,"[{""Resource"":""Property"",""Field"":""YearBuiltSource"",""DisplayName"":""Year Built Source"",""Usage"":""17%""}]",2026-05-04T15:53:01Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/YearBuiltSource/
