LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
ClosetType,3,1,"[{""Resource"":""PropertyRooms"",""Field"":""BedroomClosetType"",""DisplayName"":""Bedroom Closet Type"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ClosetType/
CoBuyerAgentDesignation,27,1,"[{""Resource"":""Property"",""Field"":""CoBuyerAgentDesignation"",""DisplayName"":""Co-Buyer Agent Designation"",""Usage"":""29%""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CoBuyerAgentDesignation/
CoListAgentDesignation,27,1,"[{""Resource"":""Property"",""Field"":""CoListAgentDesignation"",""DisplayName"":""Co-List Agent Designation"",""Usage"":""29%""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CoListAgentDesignation/
CommonInterest,6,1,"[{""Resource"":""Property"",""Field"":""CommonInterest"",""DisplayName"":""Common Interest"",""Usage"":""12%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CommonInterest/
CommonWalls,6,1,"[{""Resource"":""Property"",""Field"":""CommonWalls"",""DisplayName"":""Common Walls"",""Usage"":""25%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CommonWalls/
CommunityFeatures,21,1,"[{""Resource"":""Property"",""Field"":""CommunityFeatures"",""DisplayName"":""Community Features"",""Usage"":""63%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CommunityFeatures/
CompensationType,4,3,"[{""Resource"":""Property"",""Field"":""BuyerBrokerageCompensationType"",""DisplayName"":""Buyer Brokerage Compensation Type"",""Usage"":""3%""},{""Resource"":""Property"",""Field"":""SubAgencyCompensationType"",""DisplayName"":""Sub Agency Compensation Type"",""Usage"":""23%""},{""Resource"":""Property"",""Field"":""TransactionBrokerCompensationType"",""DisplayName"":""Transaction Broker Compensation Type"",""Usage"":""19%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CompensationType/
Concessions,3,1,"[{""Resource"":""Property"",""Field"":""Concessions"",""DisplayName"":""Concessions"",""Usage"":""39%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Concessions/
ConstructionMaterials,54,1,"[{""Resource"":""Property"",""Field"":""ConstructionMaterials"",""DisplayName"":""Construction Materials"",""Usage"":""89%""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ConstructionMaterials/
ContactListingPreference,3,1,"[{""Resource"":""ContactListings"",""Field"":""ContactListingPreference"",""DisplayName"":""Contact Listing Preference"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ContactListingPreference/
ContactStatus,4,1,"[{""Resource"":""Contacts"",""Field"":""ContactStatus"",""DisplayName"":""Contact Status"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ContactStatus/
ContactType,22,1,"[{""Resource"":""Contacts"",""Field"":""ContactType"",""DisplayName"":""Contact Type"",""Usage"":""—""}]",2026-05-04T15:52:54Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ContactType/
