host_resource,host_field,fk_stem,candidate_satellite,candidate_simple_type,target_resource,target_field,name_match_score,name_match_kind,jaccard,type_match,lookup_match,signals_fired,recommendation,notes
Property,BuyerAgentKey,BuyerAgent,BuyerAgentAOR,"String List, Single",Member,MemberAOR,1.00,target_prefix,0.750,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentDesignation,"String List, Multi",Member,MemberDesignation,1.00,target_prefix,0.952,0.5,0,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentDirectPhone,String,Member,MemberDirectPhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentEmail,String,Member,MemberEmail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentFax,String,Member,MemberFax,1.00,target_prefix,0.909,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentFirstName,String,Member,MemberFirstName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentFullName,String,Member,MemberFullName,1.00,target_prefix,0.667,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentHomePhone,String,Member,MemberHomePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentLastName,String,Member,MemberLastName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentMiddleName,String,Member,MemberMiddleName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentMlsId,String,Member,MemberMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
Property,BuyerAgentKey,BuyerAgent,BuyerAgentMobilePhone,String,Member,MemberMobilePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentNamePrefix,String,Member,MemberNamePrefix,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentNameSuffix,String,Member,MemberNameSuffix,1.00,target_prefix,0.714,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentOfficePhone,String,Member,MemberOfficePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentOfficePhoneExt,String,Member,MemberOfficePhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentPager,String,Member,MemberPager,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentPreferredPhone,String,Member,MemberPreferredPhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentPreferredPhoneExt,String,Member,MemberPreferredPhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentStateLicense,String,Member,MemberStateLicense,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentTollFreePhone,String,Member,MemberTollFreePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentURL,String,Member,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Property,BuyerAgentKey,BuyerAgent,BuyerAgentVoiceMail,String,Member,MemberVoiceMail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerAgentKey,BuyerAgent,BuyerAgentVoiceMailExt,String,Member,MemberVoiceMailExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficeAOR,"String List, Single",Office,OfficeAOR,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficeEmail,String,Office,OfficeEmail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficeFax,String,Office,OfficeFax,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficeMlsId,String,Office,OfficeMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficeName,String,Office,OfficeName,1.00,target_prefix,0.750,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficePhone,String,Office,OfficePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficePhoneExt,String,Office,OfficePhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,BuyerOfficeKey,BuyerOffice,BuyerOfficeURL,String,Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Property,BuyerTeamKey,BuyerTeam,BuyerTeamName,String,Teams,TeamName,1.00,target_singular_prefix,0.143,1.0,1,A|B|D,review,name_type_match_but_definitions_differ
